Job_Name,Company_Name,Time_Posted,Applicants,Location,Job_Type
Jr. Java Developer,Xomic Infotech Pvt. Ltd.,8 hours ago,33 applicants,"Ahmedabad, Gujarat, India",Part-time
Data Analyst Intern,TwiLearn,8 hours ago,25 applicants,Mumbai Metropolitan Region,Internship
Python Developer Intern,Gigafactor Solutions,8 hours ago,25 applicants,"Navi Mumbai, Maharashtra, India",Internship
SQL Developers Apprentice [Remotely],Gigafactor Solutions,8 hours ago,25 applicants,"Hyderabad, Telangana, India",Internship
Marketing Manager,Holiday Inn Resort Goa,8 hours ago,31 applicants,"Bengaluru, Karnataka, India",Full-time
Tech Specialist,Tech Mahindra,5 hours ago,31 applicants,Greater Kolkata Area,Full-time
Data Analyst Intern,OptimSpace,8 hours ago,41 applicants,Greater Kolkata Area,Internship
Data Analyst Intern,TwiLearn,7 hours ago,102 applicants,"Hyderabad, Telangana, India",Internship
Data Analyst or Analytics Trainee,Gigafactor Solutions,7 hours ago,72 applicants,"Pune, Maharashtra, India",Full-time
Data Analyst Intern,TwiLearn,7 hours ago,96 applicants,"Hyderabad, Telangana, India",Internship
Data Analytics Trainee - Remotely,Accobridge Solutions,7 hours ago,30 applicants,"Hyderabad, Telangana, India",Internship
HR Interns [Remote],Accobridge Solutions,8 hours ago,42 applicants,India,Internship
Data Analyst Intern,OptimSpace,8 hours ago,43 applicants,Greater Kolkata Area,Internship
Python Developer,Staffi5,8 hours ago,43 applicants,"Pune, Maharashtra, India",Full-time
Data Analyst Intern,TwiLearn,8 hours ago,26 applicants,Mumbai Metropolitan Region,Internship
Data Analyst Intern,OptimSpace,8 hours ago,44 applicants,Greater Kolkata Area,Internship
Full Stack Developer Intern,TwiLearn,8 hours ago,39 applicants,"Hyderabad, Telangana, India",Internship
SQL Developers Apprentice [Remotely],Gigafactor Solutions,8 hours ago,26 applicants,"Hyderabad, Telangana, India",Internship
Data Analyst Intern,NxtShiksha,8 hours ago,60 applicants,Mumbai Metropolitan Region,Internship
Python Developer,DriftPoint Technologies,8 hours ago,46 applicants,"Jaipur, Rajasthan, India",Full-time
Data Analyst Intern,TwiLearn,8 hours ago,27 applicants,Mumbai Metropolitan Region,Internship
HR Interns [Remote],Accobridge Solutions,8 hours ago,43 applicants,India,Internship
Customer Success Associate,BHIVE Workspace,8 hours ago,27 applicants,"Bengaluru, Karnataka, India",Part-time
Senior Operation Executive,SmartQ,59 minutes ago,29 applicants,"Bengaluru, Karnataka, India",Full-time
Data Analyst Intern,NxtShiksha,8 hours ago,61 applicants,Mumbai Metropolitan Region,Internship
Data Analysis Or Analyst Traineeship,Accobridge Solutions,8 hours ago,28 applicants,"Bengaluru, Karnataka, India",Full-time
Web Development intern,OptimSpace,7 hours ago,25 applicants,Mumbai Metropolitan Region,Internship
Web Developer,Infraveo Technologies,7 hours ago,36 applicants,"Pune, Maharashtra, India",Contract
Data Analysis Or Analyst Traineeship,Accobridge Solutions,8 hours ago,29 applicants,"Bengaluru, Karnataka, India",Full-time
Walk-in Drive -HR Operations/ Admin (International Exp. only) - Experience Required:2 to 4 years-Bangalore - 7th February 2025,Infosys BPM,1 hour ago,45 applicants,"Bengaluru, Karnataka, India",Full-time
Front-End Web Developer,Infraveo Technologies,8 hours ago,25 applicants,"Chandigarh, Chandigarh, India",Full-time
Python Developer,Staffi5,8 hours ago,45 applicants,"Pune, Maharashtra, India",Full-time
SQL Developer Apprentice (Remotely),Accobridge Solutions,8 hours ago,26 applicants,India,Internship
Python Developer,DriftPoint Technologies,8 hours ago,48 applicants,"Jaipur, Rajasthan, India",Full-time
Data Analyst Intern,OptimSpace,8 hours ago,45 applicants,Greater Kolkata Area,Internship
AI ML Intern,OptimSpace,8 hours ago,37 applicants,"Bengaluru East, Karnataka, India",Internship
Senior Operation Executive,SmartQ,1 hour ago,31 applicants,"Bengaluru, Karnataka, India",Full-time
SQL Developer Apprentice (Remotely),Accobridge Solutions,8 hours ago,27 applicants,India,Internship
Python Developer,DriftPoint Technologies,8 hours ago,49 applicants,"Jaipur, Rajasthan, India",Full-time
Data Analyst Intern,OptimSpace,8 hours ago,46 applicants,Greater Kolkata Area,Internship
Full Stack Developer Intern,TwiLearn,7 hours ago,35 applicants,"Noida, Uttar Pradesh, India",Internship
Full Stack Developer Intern,TwiLearn,7 hours ago,29 applicants,"Gurgaon, Haryana, India",Internship
Data Analyst Intern,NxtShiksha,8 hours ago,64 applicants,Mumbai Metropolitan Region,Internship
Senior Operation Executive,SmartQ,1 hour ago,32 applicants,"Bengaluru, Karnataka, India",Full-time
QA Engineer,Vedlogic Solutions Pvt. Ltd.,9 hours ago,34 applicants,"Ahmedabad, Gujarat, India",Full-time
Tech Specialist,Tech Mahindra,6 hours ago,35 applicants,Greater Kolkata Area,Part-time
Walk-in Drive -HR Operations/ Admin (International Exp. only) - Experience Required:2 to 4 years-Bangalore - 7th February 2025,Infosys BPM,2 hours ago,55 applicants,"Bengaluru, Karnataka, India",Full-time
PMO Officer,NEC Software Solutions (India),1 hour ago,27 applicants,"Mumbai, Maharashtra, India",Full-time
Web Development intern,OptimSpace,9 hours ago,39 applicants,"Delhi, India",Internship
Python Developer Intern,Gigafactor Solutions,9 hours ago,33 applicants,"Navi Mumbai, Maharashtra, India",Internship
Frontend Developer,Power Nest,9 hours ago,179 applicants,"Delhi, India",Full-time
Data Analyst Intern,NxtShiksha,9 hours ago,130 applicants,Greater Kolkata Area,Internship
Data Analyst Intern,NxtShiksha,9 hours ago,132 applicants,Greater Kolkata Area,Internship
Frontend Developer,Power Nest,9 hours ago,180 applicants,"Delhi, India",Full-time
Frontend Developer,Power Nest,9 hours ago,182 applicants,"Delhi, India",Full-time
Python Developer,Staffi5,7 hours ago,42 applicants,"Pune, Maharashtra, India",Full-time
Web Development intern,OptimSpace,9 hours ago,40 applicants,"Delhi, India",Internship
Python Developer Intern - Remote,Accobridge Solutions,9 hours ago,38 applicants,"Hyderabad, Telangana, India",Internship
Data Analyst Intern,NxtShiksha,9 hours ago,135 applicants,Greater Kolkata Area,Internship
Data Analyst Intern,TwiLearn,9 hours ago,120 applicants,"Hyderabad, Telangana, India",Internship
Email / Chat Support - WFH Remote,CrazyHR,9 hours ago,72 applicants,"Pune, Maharashtra, India",Full-time
Data Entry Job (Remote Job),CrazyHR,9 hours ago,25 applicants,"Pune, Maharashtra, India",Internship
Python Developers Internship,Gigafactor Solutions,9 hours ago,55 applicants,India,Internship
Data Scientist  Intern,OptimSpace,9 hours ago,99 applicants,"Pune, Maharashtra, India",Internship
Frontend Developer,ErNoto,9 hours ago,26 applicants,"Raipur, Chhattisgarh, India",Part-time
Data Analyst Intern,OptimSpace,9 hours ago,35 applicants,"Pune, Maharashtra, India",Internship
Python Developer,Staffi5,9 hours ago,64 applicants,"Pune, Maharashtra, India",Contract
Web Development Intern,TwiLearn,9 hours ago,33 applicants,"Noida, Uttar Pradesh, India",Internship
Email / Chat Support - WFH Remote,CrazyHR,9 hours ago,76 applicants,"Pune, Maharashtra, India",Full-time
Fresher Dot Net Developer,Modus Enterprise Transformation Platform,9 hours ago,27 applicants,"Bengaluru, Karnataka, India",Full-time
Data Scientist  Intern,OptimSpace,10 hours ago,99 applicants,"Pune, Maharashtra, India",Internship
Frontend Developer,ErNoto,10 hours ago,26 applicants,"Raipur, Chhattisgarh, India",Full-time
Python Developer,Staffi5,10 hours ago,64 applicants,"Pune, Maharashtra, India",Part-time
Sales Consultant,BMW Deutsche Motoren,10 hours ago,25 applicants,"Delhi, Delhi, India",Full-time
Data Entry Job (Remote Job),CrazyHR,10 hours ago,25 applicants,"Pune, Maharashtra, India",Internship
Email / Chat Support - WFH Remote,CrazyHR,10 hours ago,84 applicants,"Pune, Maharashtra, India",Full-time
Mechanical Engineer jobs in Bengaluru Freshers,CrazyHR,10 hours ago,58 applicants,"Bengaluru, Karnataka, India",Full-time
Conceptualizer,Mirchi,3 hours ago,87 applicants,"Noida, Uttar Pradesh, India",Full-time
Frontend Developer,Power Nest,10 hours ago,116 applicants,"Hyderabad, Telangana, India",Full-time
Frontend Developer,Power Nest,10 hours ago,117 applicants,"Hyderabad, Telangana, India",Full-time
Senior Manager - Events Planning,Jio World Centre,10 hours ago,43 applicants,Mumbai Metropolitan Region,Full-time
Customer Success Associate,BHIVE Workspace,7 hours ago,25 applicants,"Bengaluru, Karnataka, India",Full-time
Python Developers Internship,Gigafactor Solutions,10 hours ago,47 applicants,"Hyderabad, Telangana, India",Internship
Jr. DevOps Engineer,Aakash Infosoft,10 hours ago,95 applicants,"Ahmedabad, Gujarat, India",Full-time
Data Entry Job (Remote Job),CrazyHR,10 hours ago,26 applicants,"Pune, Maharashtra, India",Internship
AI/ML Engineer,Onelab Ventures,5 hours ago,41 applicants,"Pune, Maharashtra, India",Full-time
Data Analyst Trainee,Gigafactor Solutions,12 hours ago,79 applicants,"Hyderabad, Telangana, India",Contract
"Data Science ,ML & AI TRAINING",Quest Innovative Solutions Pvt Ltd,12 hours ago,31 applicants,"Alappuzha, Kerala, India",Internship
Accounts Payable & Receivable,Teleminds Infotech Pvt Ltd,12 hours ago,129 applicants,"Pune, Maharashtra, India",Full-time
Software Development Engineer -II (Backend),ZET,52 minutes ago,67 applicants,"Bengaluru, Karnataka, India",Full-time
Spring Boot Engineer,KogniVera,12 hours ago,43 applicants,"Bengaluru, Karnataka, India",Part-time
Software Engineer,HCLTech,3 hours ago,66 applicants,"Chennai, Tamil Nadu, India",Full-time
Java Software Engineer,Monocept,12 hours ago,42 applicants,"Gurgaon, Haryana, India",Full-time
Java Software Engineer,Staffi5,12 hours ago,31 applicants,"Chennai, Tamil Nadu, India",Full-time
Full Stack Developer Intern,TwiLearn,7 hours ago,36 applicants,"Noida, Uttar Pradesh, India",Internship
"Data Science, Tableau/Power BIâAnalytics",Modus Enterprise Transformation Platform,2 days ago,119 applicants,"Bengaluru, Karnataka, India",Full-time
Executive - Data Science,KPMG India,2 weeks ago,32 applicants,"Bengaluru, Karnataka, India",Full-time
Machine Learning Engineer,EverestDX Inc,1 week ago,118 applicants,"Hyderabad, Telangana, India",Full-time
IND_Analyst_BA,Lowe's India,1 week ago,140 applicants,"Bengaluru, Karnataka, India",Full-time
Senior Decision Scientist,Tesco Bengaluru,3 weeks ago,74 applicants,"Bengaluru, Karnataka, India",Full-time
AI/ML Intern,Lakebrains LLP,2 days ago,26 applicants,"Udaipur, Rajasthan, India",Internship
We are Hiring Data Modelers,LTIMindtree,1 week ago,122 applicants,"Bengaluru, Karnataka, India",Full-time
Data Analyst,DataBeat,1 week ago,196 applicants,"Hyderabad, Telangana, India",Part-time
Data Science Manager,SMC Squared India,1 week ago,180 applicants,"Bengaluru, Karnataka, India",Full-time
Data Science & Engineering Lead,Particle41,3 months ago,189 applicants,"Pune, Maharashtra, India",Full-time
Data Scientist,Colan Infotech Private Limited,2 days ago,150 applicants,"Bengaluru, Karnataka, India",Full-time
NLP Engineer - Artificial Intelligence,Artivatic - Insurtech | Healthtech,6 days ago,68 applicants,"Bagalur, Karnataka, India",Part-time
"Director, Data Science",Gartner,1 week ago,177 applicants,"Gurgaon, Haryana, India",Full-time
Principal Data Scientist,Sigmoid,1 week ago,131 applicants,"Bengaluru, Karnataka, India",Full-time
Data Scientist,Irizpro Learning Solutions,2 days ago,101 applicants,Mumbai Metropolitan Region,Contract
ML Engineer I,UST,2 weeks ago,105 applicants,"Trivandrum, Kerala, India",Full-time
Data scientist  AI ML,Tarento Group,1 week ago,87 applicants,"Bengaluru, Karnataka, India",Full-time
AI/ML Architect,Accellor,1 week ago,96 applicants,"Hyderabad, Telangana, India",Full-time
ML Engineer I,UST,2 weeks ago,106 applicants,"Trivandrum, Kerala, India",Full-time
Data Analyst,AstraZeneca India,1 week ago,41 applicants,"Chennai, Tamil Nadu, India",Full-time
Data Scientist,DataToBiz,6 days ago,26 applicants,"Chandigarh, Chandigarh, India",Full-time
Machine Learning & Artificial Intelligence Developer,Tata Consultancy Services,2 weeks ago,127 applicants,"Hyderabad, Telangana, India",Full-time
Machine Learning,qode.world,1 day ago,136 applicants,Mumbai Metropolitan Region,Full-time
Data Science Specialist,GE Aerospace,6 days ago,197 applicants,"Bengaluru, Karnataka, India",Full-time
AI/ML Developer,cFIRST Background Checks LLP,2 days ago,41 applicants,"Ahmedabad, Gujarat, India",Full-time
"Data Analyst, Predictive Analytics, India- X Delivery",BCG X,1 week ago,70 applicants,"Bengaluru, Karnataka, India",Part-time
Data Scientist,Bright Vision Technologies,1 week ago,54 applicants,"Gurugram, Haryana, India",Full-time
"Business Analyst I, Last Mile Analytics and Quality (LMAQ)",Amazon,2 weeks ago,78 applicants,"Hyderabad, Telangana, India",Full-time
Machine Learning Specialist,Live Connections,1 week ago,122 applicants,"Bengaluru, Karnataka, India",Full-time
Staff AI Scientist,Intuit,1 week ago,47 applicants,"Bengaluru, Karnataka, India",Full-time
Data Scientist,GSK,1 week ago,28 applicants,"Bengaluru, Karnataka, India",Full-time
Data Science_Akanksha_PublicisResources,CodersBrain,5 months ago,26 applicants,India,Full-time
AI ML Engineer,CirrusLabs,5 days ago,182 applicants,"Hyderabad, Telangana, India",Full-time
Machine Learning Engineer,CN Solutions,2 days ago,83 applicants,"Bengaluru, Karnataka, India",Contract
Data Scientist,enxcl Business Solutions,2 days ago,44 applicants,"Kerala, India",Full-time
Data Scientist-Artificial Intelligence,IBM,6 days ago,94 applicants,"Bengaluru, Karnataka, India",Part-time
AI & ML,Maverick Edutech Private Limited,2 days ago,110 applicants,"Hyderabad, Telangana, India",Full-time
HR Operational Excellence Analyst -A,Capgemini,4 days ago,99 applicants,Greater Kolkata Area,Part-time
"(IND) Senior Director, Data Science",Walmart Global Tech India,1 week ago,91 applicants,"Bengaluru, Karnataka, India",Full-time
Software Engineer (Data Engineering),Microsoft,2 weeks ago,160 applicants,"Maharashtra, India",Full-time
Machine Learning Specialist,Tata Consultancy Services,1 week ago,88 applicants,"Delhi, India",Full-time
Python developer,Avia Technologies,1 day ago,59 applicants,"Bengaluru, Karnataka, India",Full-time
Process Excellence Specialist,Google Operations Center,2 days ago,96 applicants,"Bangalore Urban, Karnataka, India",Full-time
"Assistant Manager, Business Analytics",Colgate-Palmolive,3 weeks ago,173 applicants,Mumbai Metropolitan Region,Full-time
"Quality Assurance - Analyst, Amazon",Amazon,13 hours ago,72 applicants,"Chennai, Tamil Nadu, India",Full-time
"Client Technology: Platform Engineering, Senior DevOps engineer",EY,15 hours ago,9 applicants,"Trivandrum, Kerala, India",Full-time
Associate - Global Intelligence (Open Source Collection Cell),JPMorgan Chase & Co.,11 hours ago,10 applicants,"Mumbai, Maharashtra, India",Part-time
MTS Software Development Eng.,AMD,13 hours ago,41 applicants,"Bengaluru, Karnataka, India",Full-time
Tech Lead - Wifi Development,VVDN Technologies,10 hours ago,13 applicants,"Chennai, Tamil Nadu, India",Full-time
Senior Application Specialist,Leica Biosystems,15 hours ago,78 applicants,"Mumbai, Maharashtra, India",Full-time
DevSecops Engineer/Application Security Engineer,Ingram Micro,14 hours ago,75 applicants,"Chennai, Tamil Nadu, India",Full-time
Oracle DBA,Tata Consultancy Services,11 hours ago,79 applicants,"Chennai, Tamil Nadu, India",Full-time
SEO Analyst,LIFE AT WOODS,11 hours ago,76 applicants,"Hyderabad, Telangana, India",Contract
Big Data Developer,Luxoft,10 hours ago,12 applicants,"Chennai, Tamil Nadu, India",Full-time
Full Time Instructor - Computer Science,Newton School,19 hours ago,16 applicants,"Bengaluru, Karnataka, India",Full-time
EngageOne Developer,LTIMindtree,12 hours ago,21 applicants,"Bengaluru, Karnataka, India",Part-time
XSOAR Engineer,CyberProof,11 hours ago,54 applicants,"Bengaluru, Karnataka, India",Full-time
Abinitio with Meta Data Bangalore,Virtusa,12 hours ago,32 applicants,"Karnataka, India",Full-time
Lead Software Engineer,HERE Technologies,17 hours ago,31 applicants,"Mumbai, Maharashtra, India",Full-time
Data Controller,ENP Technologies,13 hours ago,108 applicants,"Maharashtra, India",Full-time
Sr Software Engineer,ACI Worldwide,13 hours ago,35 applicants,"Pune, Maharashtra, India",Full-time
Service Technician,Leslie's,12 hours ago,16 applicants,"Salem, Tamil Nadu, India",Full-time
Principal Software Engineer,Aurigo Software Technologies,16 hours ago,33 applicants,"Bengaluru, Karnataka, India",Full-time
Staff Software Engineer,Equinix Asia-Pacific,10 hours ago,30 applicants,"Bengaluru, Karnataka, India",Part-time
Solution Lead Java,Acara Solutions India,6 hours ago,34 applicants,"Bengaluru, Karnataka, India",Full-time
Field Coordinators - UT Jammu & Kashmir,Responsenet,23 hours ago,200,"Srinagar, Jammu & Kashmir, India",Full-time
Head of Network Operations,Mindsprint,11 hours ago,72 applicants,"Chennai, Tamil Nadu, India",Full-time
Oracle DBA,Tata Consultancy Services,12 hours ago,93 applicants,"Bengaluru, Karnataka, India",Full-time
Data Controller,ENP Technologies,21 hours ago,108 applicants,"Maharashtra, India",Full-time
Lead Software Engineer â Full stack,Nissan Motor Corporation,19 hours ago,26 applicants,"Trivandrum, Kerala, India",Full-time
Branch Head-MNC Bank-Gurgaon,upGrad Rekrut,5 hours ago,112 applicants,"Gurugram, Haryana, India",Contract
Business Analyst,Kyndryl India,19 hours ago,69 applicants,"Bangalore Urban, Karnataka, India",Full-time
Guidewire Claim center developer,Aspire Systems,16 hours ago,17 applicants,Greater Chennai Area,Part-time
Business Development Executive,BYJU'S,13 hours ago,17 applicants,"Bengaluru, Karnataka, India",Full-time
Consultant - CAR,Rizing Consumer Industries,19 hours ago,96 applicants,"Bangalore Urban, Karnataka, India",Full-time
Area Head -  Direct Distribution,Bharti AXA Life Insurance,12 hours ago,51 applicants,"Warangal, Telangana, India",Full-time
Field Specialist - Coiled Tubing,Baker Hughes,16 hours ago,16 applicants,"Rajasthan, India",Full-time
Python & Web Scraping || Face-to-Face Interview,Infiniti Research Ltd.,17 hours ago,99 applicants,"Bengaluru, Karnataka, India",Full-time
"Software Engineer 2 (C#, ASP.Net MVC, API & SQL)",[24]7.ai,17 hours ago,1 applicant,"Bengaluru East, Karnataka, India",Full-time
IT Delivery,Infosys,15 hours ago,7 applicants,"Hyderabad, Telangana, India",Part-time
L3 Support Consultant - SFCC,Litmus7,16 hours ago,27 applicants,"Kochi, Kerala, India",Part-time
IT Delivery,Infosys,18 hours ago,1 applicant,"Bengaluru East, Karnataka, India",Full-time
Technical Lead,Wipro,14 hours ago,47 applicants,"Mumbai, Maharashtra, India",Full-time
Tax Reporting & Compliance Engineer,A.P. Moller - Maersk,4 hours ago,45 applicants,"Bengaluru, Karnataka, India",Full-time
Commercial Leader,Wabtec Corporation,22 hours ago,19 applicants,"Tamil Nadu, India",Full-time
"Engineer, Application Management",LSEG (London Stock Exchange Group),21 hours ago,77 applicants,"Bengaluru, Karnataka, India",Full-time
User Interface Developer,Skaut,14 hours ago,19 applicants,"Kochi, Kerala, India",Full-time
Oracle Database Administrator,Tata Consultancy Services,21 hours ago,113 applicants,"Chennai, Tamil Nadu, India",Full-time
Senior Data Analyst/Data Modellers,EPAM Systems,3 weeks ago,118 applicants,"Hyderabad, Telangana, India",Full-time
"Lead - Data Analyst (Big Data, PySpark)",Citi,1 week ago,89 applicants,"Bengaluru, Karnataka, India",Full-time
Senior Analytics Consultant,Wells Fargo,1 month ago,3 applicants,"Bengaluru, Karnataka, India",Full-time
Senior Data Analyst,Flexmoney Technologies Pvt Ltd,6 days ago,200,"Mumbai, Maharashtra, India",Full-time
Senior Analytics Consultant,Wells Fargo,2 months ago,3 applicants,"Hyderabad, Telangana, India",Contract
ICG - Analytics Markets,Citi,2 months ago,31 applicants,"Mumbai, Maharashtra, India",Full-time
Data Analyst,twid,1 month ago,200,"Bengaluru, Karnataka, India",Full-time
Data Analyst,Acme Services,2 months ago,200,"Mumbai, Maharashtra, India",Full-time
Associate III - Data Analysis,UST,2 months ago,184 applicants,"Thiruvananthapuram, Kerala, India",Part-time
Senior Data Analyst(Power BI/Python),Societe Generale Global Solution Centre,6 days ago,33 applicants,"Bengaluru, Karnataka, India",Full-time
Expression of Interest: Data Analyst,Fingerprint for Success (F4S),1 week ago,200,India,Full-time
Data Science,TransUnion,1 week ago,22 applicants,"Pune, Maharashtra, India",Full-time
SGEF UK Data Transformation Analyst,Societe Generale Global Solution Centre,4 days ago,16 applicants,"Bengaluru, Karnataka, India",Full-time
Quantitative Analytics Specialist,Wells Fargo,5 days ago,3 applicants,"Bengaluru, Karnataka, India",Full-time
Data Analyst 3,Zynga,2 weeks ago,200,"Bengaluru, Karnataka, India",Full-time
Analyst,CRISIL Limited,2 weeks ago,200,Mumbai Metropolitan Region,Full-time
Interesting Job Opportunity: Tata Power - Data Scientist - Predictive Modeling/Machine Learning,TATA Power,1 month ago,200,"Mumbai, Maharashtra, India",Full-time
"Data & Analytics Analyst, Financial Crime",NatWest Group,3 weeks ago,33 applicants,"Chennai, Tamil Nadu, India",Full-time
Data Analyst,Turing,1 month ago,200,India,Full-time
Data Analyst-BI,Excellence and Eminence LLP,3 days ago,67 applicants,"Bengaluru North, Karnataka, India",Full-time
Data Analyst,"Saaki, Argus and Averil Consulting",1 month ago,83 applicants,"Chennai, Tamil Nadu, India",Full-time
E-data Senior Analyst,NielsenIQ,1 week ago,17 applicants,"Gurugram, Haryana, India",Part-time
Spec Analytics Analyst - C11 - DS,Citi,2 weeks ago,5 applicants,"Bengaluru, Karnataka, India",Full-time
In-Business Credit Risk Quality Assurance Data Analyst for Wealth Management,Citi,2 days ago,14 applicants,"Mumbai, Maharashtra, India",Part-time
Senior Consultant - Data Analytics-CPG038927,Genpact,4 days ago,63 applicants,"Gurugram, Haryana, India",Full-time
Lead Big Data Analyst,Near,3 weeks ago,10 applicants,Greater Bengaluru Area,Full-time
Senior Power BI Specialist,ICF,3 weeks ago,105 applicants,"Delhi Cantonment, Delhi, India",Contract
Data Analyst_Assistant Manager_Pune,_VOIS,1 week ago,200 applicants,"Pune, Maharashtra, India",Full-time
Data Analyst (6),ITI Data,3 weeks ago,16 applicants,"Ramban, Jammu & Kashmir, India",Full-time
Sr Analyst Promotions Insight,Target,1 week ago,58 applicants,"Bengaluru, Karnataka, India",Full-time
Data Researcher,S&P Global,1 week ago,68 applicants,"Gurgaon, Haryana, India",Full-time
EA_P&U_Data Analyst (P&U OT)_Staff,EY,1 month ago,57 applicants,"Trivandrum, Kerala, India",Part-time
Product Analyst Internship,Moment,6 days ago,157 applicants,"Gurugram, Haryana, India",Internship
Pharma Forecasting,WNS,1 week ago,200,"Bengaluru East, Karnataka, India",Full-time
Data Analyst - Big Data/Python,Emproto Technologies,1 month ago,80 applicants,"Hyderabad, Telangana, India",Full-time
Data Analyst,WSP,1 week ago,200,"Noida, Uttar Pradesh, India",Full-time
Data Analyst,Graphene AI,2 weeks ago,4 applicants,"Bengaluru North, Karnataka, India",Full-time
Senior Data Analyst â SAS & Power BI,Exusia,3 weeks ago,200,"Bengaluru, Karnataka, India",Full-time
Senior Analytics Consultant,Wells Fargo,2 weeks ago,1 applicant,"Hyderabad, Telangana, India",Full-time
Business Data Analyst,M&G Global Services Private Limited,2 weeks ago,200,"Mumbai, Maharashtra, India",Full-time
"ESG Data Analyst, AVP",Deutsche Bank,1 week ago,194 applicants,"Mumbai, Maharashtra, India",Full-time
Data Analyst (Data Validation),m360 Research,3 weeks ago,200,"Bengaluru, Karnataka, India",Part-time
Senior Data Analyst/Data Modellers,EPAM Systems,3 weeks ago,179 applicants,"Pune, Maharashtra, India",Full-time
Business Intelligence Specialist,Al Gihaz Holding,3 weeks ago,132 applicants,"Chennai, Tamil Nadu, India",Full-time
Research - Data Analyst / Senior Data Analyst,ISG (Information Services Group),3 weeks ago,200,"Bengaluru, Karnataka, India",Full-time
"Lead Analyst, Data Management & Quantitative Analysis",BNY Mellon,20 hours ago,41 applicants,"Pune, Maharashtra, India",Full-time
ETL Testing,CodersBrain,7 hours ago,93 applicants,"Bengaluru, Karnataka, India",Contract
Data Analyst,Acme Services,1 week ago,200,"Mumbai, Maharashtra, India",Full-time
Senior Data Analyst â SAS & Power BI,Exusia,1 week ago,200,"Bengaluru, Karnataka, India",Full-time
Senior Consultant - Data Analytics-CPG038927,Genpact,2 days ago,63 applicants,"Gurugram, Haryana, India",Part-time
Twid - Data Analyst - R/SQL/Python,twid,6 days ago,200,"Bengaluru, Karnataka, India",Full-time
Senior Analytics Consultant,Wells Fargo,3 weeks ago,1 applicant,"Hyderabad, Telangana, India",Full-time
"Senior Business Intelligence Analyst (Bangkok based, relocation provided)",Agoda,3 weeks ago,13 applicants,"New Delhi, Delhi, India",Full-time
Postdoctoral Researcher,Amrita Vishwa Vidyapeetham,3 weeks ago,46 applicants,"Kollam, Kerala, India",Full-time
Associate III - Data Analysis,UST,2 weeks ago,107 applicants,"Thiruvananthapuram, Kerala, India",Full-time
"Senior Analyst, IME - Insights APAC",Guidepoint,2 weeks ago,6 applicants,"Mumbai, Maharashtra, India",Full-time
Marketing Data Analyst,Purple Drive Technologies,3 weeks ago,47 applicants,"Pune, Maharashtra, India",Full-time
Data Analyst,Entrupy,2 weeks ago,182 applicants,"Bengaluru East, Karnataka, India",Full-time
"Principal, Data Scientist",BNY Mellon,2 weeks ago,59 applicants,"Pune, Maharashtra, India",Part-time
Analyst- Wallets,CRISIL Limited,3 weeks ago,121 applicants,"Mumbai, Maharashtra, India",Full-time
Data Analyst,JobDost,1 week ago,21 applicants,"Bengaluru North, Karnataka, India",Full-time
EA_P&U_Data Analyst (P&U OT)_Staff,EY,1 week ago,70 applicants,"Trivandrum, Kerala, India",Full-time
Data Scientist/Quantitative Analyst,Antier Solutions,3 weeks ago,10 applicants,"Sahibzada Ajit Singh Nagar, Punjab, India",Part-time
Data Analyst (Tableau),SA Technologies Inc.,2 weeks ago,126 applicants,"Mumbai, Maharashtra, India",Full-time
Data Analyst (1),ITI Data,1 week ago,6 applicants,"Ramban, Jammu & Kashmir, India",Full-time
Sr. Data Analyst,Credibly,4 weeks ago,200,"Maharashtra, India",Part-time
Business / Data Analyst,Solytics Partners,2 weeks ago,71 applicants,"Pune, Maharashtra, India",Full-time
Apply for Junior Research Analyst - Benchmarking - KPO,Incisive Research,3 weeks ago,71 applicants,"Delhi, Delhi, India",Full-time
Associate Statistician,GSK,6 days ago,113 applicants,"Bengaluru, Karnataka, India",Contract
Dataanalyst+Qlikview_Deepanshi_TTP,CodersBrain,3 days ago,25 applicants,"Bengaluru, Karnataka, India",Full-time
Senior Lead Data Analyst,Atkins,2 weeks ago,7 applicants,"Bengaluru, Karnataka, India",Full-time
Data Analyst,FloBiz,2 weeks ago,200,"Bengaluru, Karnataka, India",Full-time
Power BI Consultant 1 1,Worldline,3 weeks ago,173 applicants,"Delhi, Delhi, India",Full-time
In-Business Credit Risk Quality Assurance Data Analyst for Wealth Management,Citi,5 days ago,14 applicants,"Mumbai, Maharashtra, India",Full-time
Data Operations Analyst IRC179903,GlobalLogic,6 days ago,20 applicants,"Bengaluru, Karnataka, India",Part-time
Data Analyst/Engineer,Turing,1 week ago,172 applicants,India,Full-time
Lead Quantitative Analytics Specialist,Wells Fargo,1 month ago,1 applicant,"Hyderabad, Telangana, India",Full-time
Analyst (AWS + Snowflake),Coforge,6 days ago,200,"Noida, Uttar Pradesh, India",Full-time
Data Analyst,Right Advisors Private Limited,1 week ago,14 applicants,"Kolar, Karnataka, India",Full-time
Data Analyst (9),ITI Data,2 days ago,18 applicants,"Ramban, Jammu & Kashmir, India",Full-time
Lead Data Analyst - Data Operations,S&P Global,4 days ago,193 applicants,"Gurgaon, Haryana, India",Full-time
Data Analyst,Collegedunia,5 days ago,200,"Gurgaon, Haryana, India",Full-time
Data Researcher - III,S&P Global,2 weeks ago,72 applicants,"Ahmedabad, Gujarat, India",Part-time
